NO,이수구분,AISW마이크로디그리,교양영역,학수번호,분반,개설학년,교과목명,학점,교수명,강의시간(강의실),수업구분,수업방법,팀티칭 유형
161,인성교양,,,0APR1139,S4,1,대학생활설계와비전2,1,조학수,월4(제2공학관(아산) 502),주간,대면수업,
162,인성교양,,,0APR1139,SC,1,대학생활설계와비전2,1,김경식,월2(체육관(아산) 312),주간,대면수업,
163,인성교양,,,0APR1139,SE,1,대학생활설계와비전2,1,윤종욱,수0(음악관(천안) 526),주간(천안),대면수업,
164,인성교양,,,0APR1139,SH,1,대학생활설계와비전2,1,김근수,목4(제2공학관(아산) 216),주간,대면수업,
165,인성교양,,,0APR1139,SI,1,대학생활설계와비전2,1,채기웅,목4(제2공학관(아산) 302),주간,대면수업,
166,인성교양,,,0APR1139,SN,1,대학생활설계와비전2,1,우나리야,수3(자연과학관(아산) 319),주간,대면수업,
167,인성교양,,,0APR1139,SO,1,대학생활설계와비전2,1,임승주,목2(보건과학관(아산) 401-1),주간,대면수업,
168,인성교양,,,0APR1139,SR,1,대학생활설계와비전2,1,손선아,월5(1호관(천안) 405),주간(천안),대면수업,
169,인성교양,,,0APR1139,SS,1,대학생활설계와비전2,1,정영훈,목6(1호관(천안) 102),주간(천안),대면수업,
170,인성교양,,,0APR1139,T1,1,대학생활설계와비전2,1,안태길,목4(제1공학관(아산) 228),주간,대면수업,
171,인성교양,,,0APR1139,T2,1,대학생활설계와비전2,1,정현준,목4(제1공학관(아산) 114),주간,대면수업,
172,인성교양,,,0APR1139,T3,1,대학생활설계와비전2,1,박차식,목4(제1공학관(아산) 332),주간,대면수업,
173,인성교양,,,0APR1139,TO,1,대학생활설계와비전2,1,최영진,수3(자연과학관(아산) 410),주간,대면수업,
174,인성교양,,,0APR1139,TP,1,대학생활설계와비전2,1,이미경,목7(보건과학관(아산) 401-1),주간,대면수업,
175,인성교양,,,0APR1139,TS,1,대학생활설계와비전2,1,이윤정,월5(1호관(천안) B12),주간(천안),대면수업,
176,인성교양,,,0APR1139,TU,1,대학생활설계와비전2,1,홍하일,수4(산학협동1호관(아산) 104),주간,대면수업,
